timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1549617018007,17457,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549617018007,2168,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549617019007,17358,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549617019007,8000,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549617020008,17318,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549617020008,6750,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549617021008,17344,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549617021008,7759,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549617022008,17343,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549617022008,7970,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549617023009,17379,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549617023009,7509,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549617024009,17395,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549617024009,7412,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549617025009,17404,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549617025009,7481,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549617026010,17408,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549617026010,7412,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549617027010,17414,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549617027010,7052,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
