timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1549586742969,105,Petición HTTP,200,OK,Grupo de Hilos 1-13,text,true,,379,255,37,37,105,0,102
1549586742969,108,Petición HTTP,200,OK,Grupo de Hilos 1-19,text,true,,379,255,37,37,108,0,104
1549586743026,52,Petición HTTP,200,OK,Grupo de Hilos 1-29,text,true,,379,255,37,37,52,0,44
1549586743010,67,Petición HTTP,200,OK,Grupo de Hilos 1-26,text,true,,379,255,37,37,67,0,63
1549586743016,61,Petición HTTP,200,OK,Grupo de Hilos 1-27,text,true,,379,255,37,37,61,0,57
1549586742980,96,Petición HTTP,200,OK,Grupo de Hilos 1-23,text,true,,379,255,37,37,96,0,90
1549586743049,27,Petición HTTP,200,OK,Grupo de Hilos 1-33,text,true,,379,255,37,37,27,0,1
1549586742969,108,Petición HTTP,200,OK,Grupo de Hilos 1-22,text,true,,379,255,38,38,108,0,100
1549586742988,93,Petición HTTP,200,OK,Grupo de Hilos 1-4,text,true,,379,255,38,38,93,0,60
1549586743064,17,Petición HTTP,200,OK,Grupo de Hilos 1-36,text,true,,379,255,38,38,17,0,0
1549586743058,24,Petición HTTP,200,OK,Grupo de Hilos 1-34,text,true,,379,255,38,38,24,0,5
1549586742984,97,Petición HTTP,200,OK,Grupo de Hilos 1-10,text,true,,379,255,38,38,97,0,60
1549586742997,85,Petición HTTP,200,OK,Grupo de Hilos 1-16,text,true,,379,255,38,38,85,0,56
1549586743039,44,Petición HTTP,200,OK,Grupo de Hilos 1-32,text,true,,379,255,39,39,44,0,6
1549586743085,4,Petición HTTP,200,OK,Grupo de Hilos 1-40,text,true,,379,255,36,36,4,0,1
1549586742987,100,Petición HTTP,200,OK,Grupo de Hilos 1-1,text,true,,379,255,39,39,96,0,67
1549586743025,61,Petición HTTP,200,OK,Grupo de Hilos 1-28,text,true,,379,255,39,39,61,0,46
1549586743002,83,Petición HTTP,200,OK,Grupo de Hilos 1-8,text,true,,379,255,39,39,83,0,71
1549586743080,10,Petición HTTP,200,OK,Grupo de Hilos 1-39,text,true,,379,255,32,32,10,0,1
1549586743033,46,Petición HTTP,200,OK,Grupo de Hilos 1-31,text,true,,379,255,39,39,46,0,39
1549586743087,4,Petición HTTP,200,OK,Grupo de Hilos 1-41,text,true,,379,255,29,29,4,0,1
1549586742975,104,Petición HTTP,200,OK,Grupo de Hilos 1-3,text,true,,379,255,39,39,104,0,91
1549586742992,87,Petición HTTP,200,OK,Grupo de Hilos 1-21,text,true,,379,255,39,39,87,0,74
1549586743074,6,Petición HTTP,200,OK,Grupo de Hilos 1-37,text,true,,379,255,39,39,6,0,1
1549586743029,51,Petición HTTP,200,OK,Grupo de Hilos 1-30,text,true,,379,255,39,39,51,0,37
1549586743061,20,Petición HTTP,200,OK,Grupo de Hilos 1-35,text,true,,379,255,39,39,20,0,3
1549586743002,82,Petición HTTP,200,OK,Grupo de Hilos 1-20,text,true,,379,255,38,38,82,0,47
1549586742989,94,Petición HTTP,200,OK,Grupo de Hilos 1-15,text,true,,379,255,38,38,94,0,66
1549586742988,95,Petición HTTP,200,OK,Grupo de Hilos 1-6,text,true,,379,255,38,38,95,0,62
1549586742988,95,Petición HTTP,200,OK,Grupo de Hilos 1-11,text,true,,379,255,38,38,95,0,64
1549586742989,94,Petición HTTP,200,OK,Grupo de Hilos 1-7,text,true,,379,255,38,38,94,0,62
1549586742982,101,Petición HTTP,200,OK,Grupo de Hilos 1-2,text,true,,379,255,38,38,101,0,68
1549586742987,96,Petición HTTP,200,OK,Grupo de Hilos 1-24,text,true,,379,255,38,38,96,0,68
1549586742991,91,Petición HTTP,200,OK,Grupo de Hilos 1-5,text,true,,379,255,38,38,91,0,62
1549586743002,80,Petición HTTP,200,OK,Grupo de Hilos 1-17,text,true,,379,255,38,38,80,0,49
1549586742997,85,Petición HTTP,200,OK,Grupo de Hilos 1-12,text,true,,379,255,38,38,85,0,62
1549586742989,108,Petición HTTP,200,OK,Grupo de Hilos 1-18,text,true,,379,255,8,8,108,0,52
1549586743005,94,Petición HTTP,200,OK,Grupo de Hilos 1-25,text,true,,379,255,5,5,94,0,63
1549586743096,3,Petición HTTP,200,OK,Grupo de Hilos 1-42,text,true,,379,255,4,4,3,0,0
1549586742991,108,Petición HTTP,200,OK,Grupo de Hilos 1-9,text,true,,379,255,3,3,106,0,53
1549586742997,104,Petición HTTP,200,OK,Grupo de Hilos 1-14,text,true,,379,255,3,3,104,0,100
1549586743104,3,Petición HTTP,200,OK,Grupo de Hilos 1-43,text,true,,379,255,4,4,3,0,1
1549586743105,3,Petición HTTP,200,OK,Grupo de Hilos 1-44,text,true,,379,255,3,3,3,0,1
1549586743104,5,Petición HTTP,200,OK,Grupo de Hilos 1-45,text,true,,379,255,3,3,5,0,2
1549586743108,3,Petición HTTP,200,OK,Grupo de Hilos 1-38,text,true,,379,255,1,1,3,0,1
1549586743114,2,Petición HTTP,200,OK,Grupo de Hilos 1-46,text,true,,379,255,2,2,2,0,0
1549586743116,3,Petición HTTP,200,OK,Grupo de Hilos 1-47,text,true,,379,255,2,2,3,0,1
1549586743118,4,Petición HTTP,200,OK,Grupo de Hilos 1-48,text,true,,379,255,2,2,4,0,1
1549586743120,5,Petición HTTP,200,OK,Grupo de Hilos 1-49,text,true,,379,255,2,2,5,0,1
1549586743123,3,Petición HTTP,200,OK,Grupo de Hilos 1-50,text,true,,379,255,1,1,3,0,1
1549586743127,2,Petición HTTP,200,OK,Grupo de Hilos 1-51,text,true,,379,255,2,2,2,0,0
1549586743132,2,Petición HTTP,200,OK,Grupo de Hilos 1-53,text,true,,379,255,3,3,2,0,0
1549586743130,4,Petición HTTP,200,OK,Grupo de Hilos 1-52,text,true,,379,255,2,2,4,0,0
1549586743134,2,Petición HTTP,200,OK,Grupo de Hilos 1-54,text,true,,379,255,1,1,2,0,0
1549586743137,2,Petición HTTP,200,OK,Grupo de Hilos 1-55,text,true,,379,255,2,2,2,0,1
