timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1549888822566,5289,18.222.43.181 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549888822567,9299,18.222.43.181 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549888823567,97503,18.222.43.181 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549888823567,11120,18.222.43.181 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549888824567,98500,18.222.43.181 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549888824567,11459,18.222.43.181 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549888825567,99000,18.222.43.181 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549888825567,11795,18.222.43.181 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549888826568,98122,18.222.43.181 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549888826568,12118,18.222.43.181 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549888827568,98247,18.222.43.181 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549888827568,12282,18.222.43.181 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549888828568,98250,18.222.43.181 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549888828568,12266,18.222.43.181 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549888829568,97994,18.222.43.181 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549888829569,12278,18.222.43.181 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549888830569,98002,18.222.43.181 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549888830569,12230,18.222.43.181 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549888831570,98998,18.222.43.181 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549888831570,12413,18.222.43.181 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549888832571,99125,18.222.43.181 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549888832571,12608,18.222.43.181 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549888833571,98875,18.222.43.181 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549888833571,12881,18.222.43.181 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549888834571,99001,18.222.43.181 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549888834571,12838,18.222.43.181 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549888835572,98500,18.222.43.181 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549888835572,13063,18.222.43.181 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549888836572,98375,18.222.43.181 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549888836572,13277,18.222.43.181 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549888837572,98000,18.222.43.181 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549888837572,13604,18.222.43.181 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549888838572,98876,18.222.43.181 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549888838572,13754,18.222.43.181 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549888839573,98623,18.222.43.181 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549888839573,13799,18.222.43.181 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549888840573,97749,18.222.43.181 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549888840573,13927,18.222.43.181 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549888841573,98625,18.222.43.181 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549888841573,13928,18.222.43.181 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549888842573,98375,18.222.43.181 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549888842573,14092,18.222.43.181 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549888843573,98247,18.222.43.181 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549888843573,14181,18.222.43.181 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549888844574,98876,18.222.43.181 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549888844574,14323,18.222.43.181 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549888845574,98375,18.222.43.181 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549888845574,14433,18.222.43.181 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549888846574,98750,18.222.43.181 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549888846574,14584,18.222.43.181 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549888847574,98500,18.222.43.181 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549888847574,14760,18.222.43.181 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549888848574,98372,18.222.43.181 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549888848574,14787,18.222.43.181 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549888849575,98002,18.222.43.181 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549888849575,14776,18.222.43.181 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549888850575,98625,18.222.43.181 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549888850575,14675,18.222.43.181 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549888851575,98623,18.222.43.181 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549888851575,14703,18.222.43.181 Memory,,,,,true,,0,0,0,0,null,0,0,0
