timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1549584654449,11,Petición HTTP,200,OK,Grupo de Hilos 1-39,text,true,,419,138,42,42,11,0,5
1549584654453,9,Petición HTTP,200,OK,Grupo de Hilos 1-40,text,true,,419,138,41,41,9,0,1
1549584654361,101,Petición HTTP,200,OK,Grupo de Hilos 1-4,text,true,,419,138,41,41,101,0,72
1549584654378,84,Petición HTTP,200,OK,Grupo de Hilos 1-12,text,true,,417,138,39,39,84,0,55
1549584654461,2,Petición HTTP,200,OK,Grupo de Hilos 1-42,text,true,,419,138,38,38,2,0,0
1549584654418,45,Petición HTTP,200,OK,Grupo de Hilos 1-30,text,true,,418,138,38,38,45,0,3
1549584654370,93,Petición HTTP,200,OK,Grupo de Hilos 1-16,text,true,,420,138,36,36,93,0,50
1549584654415,49,Petición HTTP,200,OK,Grupo de Hilos 1-29,text,true,,419,138,37,37,49,0,6
1549584654439,34,Petición HTTP,200,OK,Grupo de Hilos 1-36,text,true,,419,138,37,37,34,0,0
1549584654437,37,Petición HTTP,200,OK,Grupo de Hilos 1-35,text,true,,418,138,36,36,37,0,1
1549584654472,2,Petición HTTP,200,OK,Grupo de Hilos 1-45,text,true,,419,138,35,35,2,0,0
1549584654457,7,Petición HTTP,200,OK,Grupo de Hilos 1-41,text,true,,420,138,35,35,7,0,1
1549584654370,105,Petición HTTP,200,OK,Grupo de Hilos 1-17,text,true,,418,138,35,35,105,0,64
1549584654442,34,Petición HTTP,200,OK,Grupo de Hilos 1-37,text,true,,419,138,34,34,34,0,0
1549584654369,109,Petición HTTP,200,OK,Grupo de Hilos 1-1,text,true,,419,138,33,33,109,0,67
1549584654475,3,Petición HTTP,200,OK,Grupo de Hilos 1-46,text,true,,418,138,33,33,3,0,1
1549584654357,107,Petición HTTP,200,OK,Grupo de Hilos 1-11,text,true,,419,138,31,31,107,0,76
1549584654379,85,Petición HTTP,200,OK,Grupo de Hilos 1-6,text,true,,418,138,30,30,85,0,54
1549584654361,118,Petición HTTP,200,OK,Grupo de Hilos 1-18,text,true,,419,138,30,30,118,0,75
1549584654365,104,Petición HTTP,200,OK,Grupo de Hilos 1-20,text,true,,419,138,29,29,104,0,64
1549584654477,3,Petición HTTP,200,OK,Grupo de Hilos 1-47,text,true,,419,138,29,29,3,0,1
1549584654465,17,Petición HTTP,200,OK,Grupo de Hilos 1-43,text,true,,419,138,27,27,17,0,1
1549584654412,52,Petición HTTP,200,OK,Grupo de Hilos 1-28,text,true,,420,138,26,26,52,0,9
1549584654383,100,Petición HTTP,200,OK,Grupo de Hilos 1-23,text,true,,419,138,26,26,100,0,47
1549584654378,105,Petición HTTP,200,OK,Grupo de Hilos 1-14,text,true,,420,138,25,25,105,0,48
1549584654481,4,Petición HTTP,200,OK,Grupo de Hilos 1-48,text,true,,419,138,24,24,4,0,1
1549584654361,124,Petición HTTP,200,OK,Grupo de Hilos 1-19,text,true,,419,138,23,23,124,0,73
1549584654432,54,Petición HTTP,200,OK,Grupo de Hilos 1-34,text,true,,419,138,22,22,54,0,1
1549584654484,2,Petición HTTP,200,OK,Grupo de Hilos 1-49,text,true,,418,138,22,22,2,0,1
1549584654362,102,Petición HTTP,200,OK,Grupo de Hilos 1-3,text,true,,418,138,22,22,102,0,72
