timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1549583679148,128,Petición HTTP,200,OK,Grupo de Hilos 1-13,text,true,,420,254,30,30,128,0,20
1549583679142,137,Petición HTTP,200,OK,Grupo de Hilos 1-12,text,true,,421,254,30,30,137,0,26
1549583679105,177,Petición HTTP,200,OK,Grupo de Hilos 1-1,text,true,,419,254,28,28,176,0,64
1549583679135,147,Petición HTTP,200,OK,Grupo de Hilos 1-11,text,true,,420,254,27,27,147,0,34
1549583679162,123,Petición HTTP,200,OK,Grupo de Hilos 1-15,text,true,,420,254,26,26,123,0,6
1549583679122,166,Petición HTTP,200,OK,Grupo de Hilos 1-9,text,true,,420,254,25,25,166,0,52
1549583679105,193,Petición HTTP,200,OK,Grupo de Hilos 1-7,text,true,,419,254,25,25,193,0,64
1549583679110,188,Petición HTTP,200,OK,Grupo de Hilos 1-3,text,true,,420,254,24,24,188,0,59
1549583679171,128,Petición HTTP,200,OK,Grupo de Hilos 1-16,text,true,,420,254,24,24,128,0,0
1549583679105,195,Petición HTTP,200,OK,Grupo de Hilos 1-4,text,true,,421,254,24,24,195,0,64
1549583679177,121,Petición HTTP,200,OK,Grupo de Hilos 1-17,text,true,,420,254,24,24,121,0,0
1549583679115,186,Petición HTTP,200,OK,Grupo de Hilos 1-8,text,true,,420,254,20,20,185,0,53
1549583679184,117,Petición HTTP,200,OK,Grupo de Hilos 1-18,text,true,,420,254,19,19,117,0,4
1549583679155,151,Petición HTTP,200,OK,Grupo de Hilos 1-14,text,true,,420,254,19,19,150,0,13
1549583679104,205,Petición HTTP,200,OK,Grupo de Hilos 1-6,text,true,,421,254,18,18,205,0,64
1549583679117,197,Petición HTTP,200,OK,Grupo de Hilos 1-5,text,true,,419,254,17,17,197,0,53
1549583679105,213,Petición HTTP,200,OK,Grupo de Hilos 1-2,text,true,,420,254,16,16,213,0,64
1549583679131,186,Petición HTTP,200,OK,Grupo de Hilos 1-10,text,true,,421,254,15,15,186,0,37
1549583679192,133,Petición HTTP,200,OK,Grupo de Hilos 1-19,text,true,,420,254,15,15,133,0,0
1549583679206,131,Petición HTTP,200,OK,Grupo de Hilos 1-20,text,true,,419,254,16,16,131,0,19
1549583679214,124,Petición HTTP,200,OK,Grupo de Hilos 1-22,text,true,,420,254,15,15,124,0,12
1549583679266,72,Petición HTTP,200,OK,Grupo de Hilos 1-29,text,true,,419,254,15,15,72,0,2
1549583679224,115,Petición HTTP,200,OK,Grupo de Hilos 1-23,text,true,,421,254,15,15,114,0,0
1549583679207,133,Petición HTTP,200,OK,Grupo de Hilos 1-21,text,true,,420,254,12,12,133,0,18
1549583679244,97,Petición HTTP,200,OK,Grupo de Hilos 1-26,text,true,,419,254,11,11,97,0,1
1549583679242,100,Petición HTTP,200,OK,Grupo de Hilos 1-25,text,true,,421,254,10,10,100,0,1
1549583679251,93,Petición HTTP,200,OK,Grupo de Hilos 1-27,text,true,,420,254,10,10,93,0,8
1549583679232,114,Petición HTTP,200,OK,Grupo de Hilos 1-24,text,true,,419,254,9,9,114,0,0
1549583679258,91,Petición HTTP,200,OK,Grupo de Hilos 1-28,text,true,,420,254,9,9,91,0,0
1549583679271,82,Petición HTTP,200,OK,Grupo de Hilos 1-30,text,true,,418,254,8,8,82,0,0
1549583679303,53,Petición HTTP,200,OK,Grupo de Hilos 1-32,text,true,,420,254,8,8,53,0,0
1549583679290,67,Petición HTTP,200,OK,Grupo de Hilos 1-31,text,true,,419,254,7,7,67,0,0
1549583679326,43,Petición HTTP,200,OK,Grupo de Hilos 1-34,text,true,,420,254,8,8,43,0,1
1549583679320,56,Petición HTTP,200,OK,Grupo de Hilos 1-33,text,true,,419,254,8,8,56,0,1
1549583679336,44,Petición HTTP,200,OK,Grupo de Hilos 1-35,text,true,,420,254,7,7,44,0,1
1549583679343,44,Petición HTTP,200,OK,Grupo de Hilos 1-36,text,true,,420,254,7,7,44,0,0
1549583679349,39,Petición HTTP,200,OK,Grupo de Hilos 1-37,text,true,,421,254,6,6,39,0,1
1549583679356,36,Petición HTTP,200,OK,Grupo de Hilos 1-38,text,true,,420,254,6,6,36,0,1
1549583679362,38,Petición HTTP,200,OK,Grupo de Hilos 1-39,text,true,,420,254,6,6,38,0,1
1549583679368,36,Petición HTTP,200,OK,Grupo de Hilos 1-40,text,true,,419,254,6,6,36,0,1
1549583679375,41,Petición HTTP,200,OK,Grupo de Hilos 1-41,text,true,,419,254,7,7,41,0,3
1549583679383,42,Petición HTTP,200,OK,Grupo de Hilos 1-42,text,true,,421,254,7,7,42,0,4
1549583679389,40,Petición HTTP,200,OK,Grupo de Hilos 1-43,text,true,,421,254,6,6,40,0,0
1549583679395,44,Petición HTTP,200,OK,Grupo de Hilos 1-44,text,true,,419,254,6,6,44,0,2
1549583679401,44,Petición HTTP,200,OK,Grupo de Hilos 1-45,text,true,,419,254,6,6,44,0,1
1549583679408,40,Petición HTTP,200,OK,Grupo de Hilos 1-46,text,true,,418,254,6,6,40,0,0
1549583679414,43,Petición HTTP,200,OK,Grupo de Hilos 1-47,text,true,,420,254,7,7,43,0,1
1549583679423,43,Petición HTTP,200,OK,Grupo de Hilos 1-48,text,true,,419,254,7,7,43,0,1
1549583679437,43,Petición HTTP,200,OK,Grupo de Hilos 1-50,text,true,,420,254,8,8,43,0,0
1549583679443,37,Petición HTTP,200,OK,Grupo de Hilos 1-51,text,true,,419,254,7,7,37,0,0
1549583679446,46,Petición HTTP,200,OK,Grupo de Hilos 1-49,text,true,,421,254,8,8,46,0,4
1549583679449,44,Petición HTTP,200,OK,Grupo de Hilos 1-52,text,true,,421,254,7,7,44,0,1
1549583679455,41,Petición HTTP,200,OK,Grupo de Hilos 1-53,text,true,,421,254,7,7,41,0,2
1549583679462,43,Petición HTTP,200,OK,Grupo de Hilos 1-54,text,true,,421,254,7,7,43,0,0
1549583679468,41,Petición HTTP,200,OK,Grupo de Hilos 1-55,text,true,,419,254,7,7,41,0,1
1549583679474,39,Petición HTTP,200,OK,Grupo de Hilos 1-56,text,true,,420,254,7,7,39,0,1
1549583679481,42,Petición HTTP,200,OK,Grupo de Hilos 1-57,text,true,,421,254,7,7,42,0,1
1549583679488,41,Petición HTTP,200,OK,Grupo de Hilos 1-58,text,true,,421,254,7,7,41,0,0
1549583679495,38,Petición HTTP,200,OK,Grupo de Hilos 1-59,text,true,,421,254,7,7,38,0,0
1549583679500,36,Petición HTTP,200,OK,Grupo de Hilos 1-60,text,true,,420,254,6,6,36,0,1
1549583679507,38,Petición HTTP,200,OK,Grupo de Hilos 1-61,text,true,,420,254,6,6,37,0,0
1549583679513,44,Petición HTTP,200,OK,Grupo de Hilos 1-62,text,true,,420,254,7,7,44,0,3
1549583679519,41,Petición HTTP,200,OK,Grupo de Hilos 1-63,text,true,,420,254,7,7,41,0,1
1549583679525,44,Petición HTTP,200,OK,Grupo de Hilos 1-64,text,true,,421,254,7,7,44,0,3
1549583679532,38,Petición HTTP,200,OK,Grupo de Hilos 1-65,text,true,,421,254,6,6,38,0,0
1549583679538,40,Petición HTTP,200,OK,Grupo de Hilos 1-66,text,true,,419,254,7,7,40,0,0
1549583679551,37,Petición HTTP,200,OK,Grupo de Hilos 1-68,text,true,,420,254,7,7,37,0,1
1549583679548,43,Petición HTTP,200,OK,Grupo de Hilos 1-67,text,true,,419,254,6,6,43,0,1
1549583679558,42,Petición HTTP,200,OK,Grupo de Hilos 1-69,text,true,,419,254,7,7,42,0,1
1549583679564,36,Petición HTTP,200,OK,Grupo de Hilos 1-70,text,true,,421,254,6,6,36,0,1
1549583679571,37,Petición HTTP,200,OK,Grupo de Hilos 1-71,text,true,,419,254,7,7,37,0,1
1549583679577,40,Petición HTTP,200,OK,Grupo de Hilos 1-72,text,true,,420,254,7,7,40,0,2
1549583679583,42,Petición HTTP,200,OK,Grupo de Hilos 1-73,text,true,,419,254,7,7,42,0,3
1549583679595,36,Petición HTTP,200,OK,Grupo de Hilos 1-75,text,true,,420,254,6,6,36,0,1
1549583679592,40,Petición HTTP,200,OK,Grupo de Hilos 1-74,text,true,,420,254,5,5,40,0,4
1549583679602,37,Petición HTTP,200,OK,Grupo de Hilos 1-76,text,true,,419,254,5,5,37,0,0
1549583679608,40,Petición HTTP,200,OK,Grupo de Hilos 1-77,text,true,,419,254,4,4,40,0,0
1549583679614,37,Petición HTTP,200,OK,Grupo de Hilos 1-78,text,true,,419,254,3,3,37,0,1
1549583679621,35,Petición HTTP,200,OK,Grupo de Hilos 1-79,text,true,,420,254,4,4,35,0,1
1549583679639,33,Petición HTTP,200,OK,Grupo de Hilos 1-80,text,true,,421,254,5,5,33,0,0
1549583679654,38,Petición HTTP,200,OK,Grupo de Hilos 1-81,text,true,,420,254,7,7,38,0,1
1549583679655,38,Petición HTTP,200,OK,Grupo de Hilos 1-82,text,true,,421,254,6,6,38,0,0
1549583679662,35,Petición HTTP,200,OK,Grupo de Hilos 1-83,text,true,,421,254,5,5,35,0,0
1549583679670,34,Petición HTTP,200,OK,Grupo de Hilos 1-84,text,true,,419,254,5,5,34,0,0
1549583679676,36,Petición HTTP,200,OK,Grupo de Hilos 1-85,text,true,,420,254,6,6,36,0,1
1549583679683,37,Petición HTTP,200,OK,Grupo de Hilos 1-86,text,true,,421,254,5,5,37,0,1
1549583679689,35,Petición HTTP,200,OK,Grupo de Hilos 1-87,text,true,,420,254,4,4,34,0,1
1549583679698,37,Petición HTTP,200,OK,Grupo de Hilos 1-88,text,true,,420,254,3,3,37,0,0
1549583679706,37,Petición HTTP,200,OK,Grupo de Hilos 1-89,text,true,,421,254,3,3,37,0,0
1549583679712,35,Petición HTTP,200,OK,Grupo de Hilos 1-90,text,true,,419,254,3,3,35,0,1
1549583679738,34,Petición HTTP,200,OK,Grupo de Hilos 1-91,text,true,,420,254,5,5,34,0,0
1549583679744,37,Petición HTTP,200,OK,Grupo de Hilos 1-92,text,true,,420,254,5,5,37,0,0
1549583679752,36,Petición HTTP,200,OK,Grupo de Hilos 1-93,text,true,,419,254,4,4,36,0,0
1549583679759,36,Petición HTTP,200,OK,Grupo de Hilos 1-94,text,true,,420,254,5,5,36,0,0
1549583679768,36,Petición HTTP,200,OK,Grupo de Hilos 1-95,text,true,,421,254,5,5,36,0,0
1549583679780,35,Petición HTTP,200,OK,Grupo de Hilos 1-96,text,true,,419,254,6,6,35,0,0
1549583679793,40,Petición HTTP,200,OK,Grupo de Hilos 1-98,text,true,,420,254,8,8,40,0,0
1549583679792,48,Petición HTTP,200,OK,Grupo de Hilos 1-97,text,true,,421,254,8,8,48,0,1
1549583679799,49,Petición HTTP,200,OK,Grupo de Hilos 1-99,text,true,,419,254,8,8,49,0,1
1549583679805,48,Petición HTTP,200,OK,Grupo de Hilos 1-100,text,true,,420,254,8,8,48,0,1
1549583679812,52,Petición HTTP,200,OK,Grupo de Hilos 1-101,text,true,,421,254,8,8,52,0,1
1549583679818,51,Petición HTTP,200,OK,Grupo de Hilos 1-102,text,true,,419,254,8,8,51,0,1
1549583679833,39,Petición HTTP,200,OK,Grupo de Hilos 1-104,text,true,,419,254,8,8,39,0,0
1549583679826,47,Petición HTTP,200,OK,Grupo de Hilos 1-103,text,true,,420,254,7,7,47,0,0
1549583679839,41,Petición HTTP,200,OK,Grupo de Hilos 1-105,text,true,,419,254,7,7,41,0,0
1549583679845,39,Petición HTTP,200,OK,Grupo de Hilos 1-106,text,true,,420,254,7,7,39,0,1
1549583679852,44,Petición HTTP,200,OK,Grupo de Hilos 1-107,text,true,,420,254,7,7,44,0,0
1549583679859,39,Petición HTTP,200,OK,Grupo de Hilos 1-108,text,true,,421,254,7,7,39,0,0
1549583679865,39,Petición HTTP,200,OK,Grupo de Hilos 1-109,text,true,,421,254,7,7,39,0,0
1549583679871,38,Petición HTTP,200,OK,Grupo de Hilos 1-110,text,true,,419,254,6,6,38,0,1
1549583679878,39,Petición HTTP,200,OK,Grupo de Hilos 1-111,text,true,,421,254,6,6,39,0,0
1549583679884,39,Petición HTTP,200,OK,Grupo de Hilos 1-112,text,true,,420,254,7,7,39,0,1
1549583679891,41,Petición HTTP,200,OK,Grupo de Hilos 1-113,text,true,,420,254,7,7,41,0,0
1549583679897,43,Petición HTTP,200,OK,Grupo de Hilos 1-114,text,true,,419,254,7,7,43,0,3
1549583679903,42,Petición HTTP,200,OK,Grupo de Hilos 1-115,text,true,,419,254,7,7,42,0,1
1549583679918,38,Petición HTTP,200,OK,Grupo de Hilos 1-116,text,true,,421,254,8,8,38,0,0
1549583679916,42,Petición HTTP,200,OK,Grupo de Hilos 1-117,text,true,,420,254,7,7,42,0,0
1549583679923,37,Petición HTTP,200,OK,Grupo de Hilos 1-118,text,true,,419,254,6,6,37,0,0
1549583679929,35,Petición HTTP,200,OK,Grupo de Hilos 1-119,text,true,,420,254,6,6,35,0,0
1549583679936,36,Petición HTTP,200,OK,Grupo de Hilos 1-120,text,true,,419,254,6,6,36,0,0
1549583679942,38,Petición HTTP,200,OK,Grupo de Hilos 1-121,text,true,,421,254,6,6,38,0,0
1549583679948,36,Petición HTTP,200,OK,Grupo de Hilos 1-122,text,true,,420,254,6,6,36,0,0
1549583679955,36,Petición HTTP,200,OK,Grupo de Hilos 1-123,text,true,,421,254,6,6,36,0,0
1549583679961,34,Petición HTTP,200,OK,Grupo de Hilos 1-124,text,true,,420,254,6,6,34,0,0
1549583679969,35,Petición HTTP,200,OK,Grupo de Hilos 1-125,text,true,,419,254,6,6,35,0,1
1549583679975,37,Petición HTTP,200,OK,Grupo de Hilos 1-126,text,true,,419,254,6,6,37,0,0
1549583679982,36,Petición HTTP,200,OK,Grupo de Hilos 1-127,text,true,,421,254,6,6,36,0,0
1549583679989,39,Petición HTTP,200,OK,Grupo de Hilos 1-128,text,true,,419,254,6,6,39,0,0
1549583679995,36,Petición HTTP,200,OK,Grupo de Hilos 1-129,text,true,,419,254,6,6,36,0,1
1549583680004,36,Petición HTTP,200,OK,Grupo de Hilos 1-130,text,true,,420,254,6,6,36,0,1
1549583680010,40,Petición HTTP,200,OK,Grupo de Hilos 1-131,text,true,,419,254,6,6,39,0,1
1549583680017,36,Petición HTTP,200,OK,Grupo de Hilos 1-132,text,true,,421,254,6,6,36,0,1
1549583680023,37,Petición HTTP,200,OK,Grupo de Hilos 1-133,text,true,,420,254,6,6,37,0,0
1549583680030,38,Petición HTTP,200,OK,Grupo de Hilos 1-134,text,true,,419,254,6,6,38,0,1
1549583680037,35,Petición HTTP,200,OK,Grupo de Hilos 1-135,text,true,,420,254,5,5,35,0,0
1549583680044,37,Petición HTTP,200,OK,Grupo de Hilos 1-136,text,true,,419,254,5,5,37,0,0
1549583680050,38,Petición HTTP,200,OK,Grupo de Hilos 1-137,text,true,,419,254,5,5,38,0,1
1549583680056,36,Petición HTTP,200,OK,Grupo de Hilos 1-138,text,true,,419,254,4,4,36,0,1
