timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1549607151865,66,Petición HTTP,200,OK,Grupo de Hilos 1-17,text,true,,487,147,26,26,66,0,50
1549607151870,63,Petición HTTP,200,OK,Grupo de Hilos 1-18,text,true,,486,147,26,26,63,0,41
1549607151854,80,Petición HTTP,200,OK,Grupo de Hilos 1-3,text,true,,487,147,27,27,80,0,60
1549607151848,86,Petición HTTP,200,OK,Grupo de Hilos 1-9,text,true,,487,147,27,27,86,0,64
1549607151876,59,Petición HTTP,200,OK,Grupo de Hilos 1-19,text,true,,488,147,27,27,59,0,36
1549607151855,80,Petición HTTP,200,OK,Grupo de Hilos 1-12,text,true,,486,147,27,27,80,0,59
1549607151892,43,Petición HTTP,200,OK,Grupo de Hilos 1-22,text,true,,485,147,27,27,43,0,18
1549607151906,30,Petición HTTP,200,OK,Grupo de Hilos 1-24,text,true,,487,147,27,27,30,0,10
1549607151923,13,Petición HTTP,200,OK,Grupo de Hilos 1-26,text,true,,488,147,27,27,13,0,0
1549607151885,51,Petición HTTP,200,OK,Grupo de Hilos 1-21,text,true,,487,147,27,27,51,0,29
1549607151854,83,Petición HTTP,200,OK,Grupo de Hilos 1-10,text,true,,487,147,27,27,83,0,62
1549607151845,92,Petición HTTP,200,OK,Grupo de Hilos 1-6,text,true,,487,147,27,27,92,0,66
1549607151855,82,Petición HTTP,200,OK,Grupo de Hilos 1-8,text,true,,486,147,27,27,82,0,56
1549607151855,82,Petición HTTP,200,OK,Grupo de Hilos 1-13,text,true,,486,147,27,27,82,0,61
1549607151914,23,Petición HTTP,200,OK,Grupo de Hilos 1-25,text,true,,488,147,27,27,23,0,1
1549607151854,84,Petición HTTP,200,OK,Grupo de Hilos 1-2,text,true,,487,147,27,27,84,0,60
1549607151848,90,Petición HTTP,200,OK,Grupo de Hilos 1-15,text,true,,485,147,27,27,90,0,65
1549607151858,80,Petición HTTP,200,OK,Grupo de Hilos 1-16,text,true,,487,147,27,27,80,0,59
1549607151880,58,Petición HTTP,200,OK,Grupo de Hilos 1-20,text,true,,487,147,27,27,58,0,32
1549607151854,85,Petición HTTP,200,OK,Grupo de Hilos 1-5,text,true,,488,147,27,27,85,0,59
1549607151855,84,Petición HTTP,200,OK,Grupo de Hilos 1-1,text,true,,487,147,27,27,84,0,60
1549607151855,84,Petición HTTP,200,OK,Grupo de Hilos 1-14,text,true,,487,147,27,27,84,0,57
1549607151854,85,Petición HTTP,200,OK,Grupo de Hilos 1-4,text,true,,486,147,27,27,85,0,61
1549607151855,84,Petición HTTP,200,OK,Grupo de Hilos 1-11,text,true,,487,147,27,27,84,0,60
1549607151855,84,Petición HTTP,200,OK,Grupo de Hilos 1-7,text,true,,488,147,27,27,84,0,59
1549607151934,14,Petición HTTP,200,OK,Grupo de Hilos 1-27,text,true,,487,147,4,4,14,0,5
1549607151896,53,Petición HTTP,200,OK,Grupo de Hilos 1-23,text,true,,488,147,2,2,53,0,11
1549607151945,6,Petición HTTP,200,OK,Grupo de Hilos 1-28,text,true,,486,147,1,1,6,0,3
1549607151957,4,Petición HTTP,200,OK,Grupo de Hilos 1-29,text,true,,488,147,2,2,4,0,0
1549607151957,5,Petición HTTP,200,OK,Grupo de Hilos 1-30,text,true,,488,147,1,1,5,0,2
1549607151969,4,Petición HTTP,200,OK,Grupo de Hilos 1-31,text,true,,488,147,1,1,4,0,1
1549607151977,4,Petición HTTP,200,OK,Grupo de Hilos 1-32,text,true,,487,147,1,1,4,0,1
1549607151982,3,Petición HTTP,200,OK,Grupo de Hilos 1-33,text,true,,488,147,1,1,3,0,0
1549607151997,6,Petición HTTP,200,OK,Grupo de Hilos 1-34,text,true,,487,147,1,1,6,0,3
1549607152016,3,Petición HTTP,200,OK,Grupo de Hilos 1-35,text,true,,487,147,3,3,3,0,0
1549607152017,4,Petición HTTP,200,OK,Grupo de Hilos 1-37,text,true,,486,147,3,3,4,0,1
1549607152019,4,Petición HTTP,200,OK,Grupo de Hilos 1-38,text,true,,489,147,2,2,4,0,0
1549607152020,4,Petición HTTP,200,OK,Grupo de Hilos 1-36,text,true,,486,147,1,1,4,0,1
1549607152034,4,Petición HTTP,200,OK,Grupo de Hilos 1-39,text,true,,486,147,1,1,4,0,1
1549607152043,4,Petición HTTP,200,OK,Grupo de Hilos 1-40,text,true,,487,147,1,1,4,0,1
1549607152056,4,Petición HTTP,200,OK,Grupo de Hilos 1-41,text,true,,486,147,1,1,4,0,1
1549607152060,5,Petición HTTP,200,OK,Grupo de Hilos 1-42,text,true,,487,147,1,1,5,0,1
1549607152066,6,Petición HTTP,200,OK,Grupo de Hilos 1-43,text,true,,487,147,2,2,6,0,0
1549607152069,4,Petición HTTP,200,OK,Grupo de Hilos 1-44,text,true,,487,147,1,1,4,0,1
1549607152074,6,Petición HTTP,200,OK,Grupo de Hilos 1-45,text,true,,487,147,2,2,6,0,3
1549607152078,4,Petición HTTP,200,OK,Grupo de Hilos 1-46,text,true,,486,147,2,2,4,0,0
1549607152081,5,Petición HTTP,200,OK,Grupo de Hilos 1-47,text,true,,488,147,1,1,5,0,1
1549607152087,5,Petición HTTP,200,OK,Grupo de Hilos 1-48,text,true,,488,147,2,2,5,0,2
1549607152091,3,Petición HTTP,200,OK,Grupo de Hilos 1-49,text,true,,487,147,1,1,3,0,0
1549607152095,3,Petición HTTP,200,OK,Grupo de Hilos 1-50,text,true,,487,147,1,1,3,0,0
1549607152099,4,Petición HTTP,200,OK,Grupo de Hilos 1-51,text,true,,487,147,1,1,4,0,1
1549607152104,3,Petición HTTP,200,OK,Grupo de Hilos 1-52,text,true,,486,147,1,1,3,0,0
1549607152108,3,Petición HTTP,200,OK,Grupo de Hilos 1-53,text,true,,485,147,1,1,3,0,0
1549607152113,3,Petición HTTP,200,OK,Grupo de Hilos 1-54,text,true,,488,147,1,1,3,0,0
1549607152117,3,Petición HTTP,200,OK,Grupo de Hilos 1-55,text,true,,486,147,1,1,3,0,0
1549607152122,3,Petición HTTP,200,OK,Grupo de Hilos 1-56,text,true,,487,147,1,1,3,0,0
1549607152126,3,Petición HTTP,200,OK,Grupo de Hilos 1-57,text,true,,488,147,1,1,3,0,1
1549607152131,3,Petición HTTP,200,OK,Grupo de Hilos 1-58,text,true,,487,147,1,1,3,0,0
1549607152136,3,Petición HTTP,200,OK,Grupo de Hilos 1-59,text,true,,486,147,1,1,3,0,0
1549607152140,3,Petición HTTP,200,OK,Grupo de Hilos 1-60,text,true,,487,147,1,1,3,0,0
1549607152145,3,Petición HTTP,200,OK,Grupo de Hilos 1-61,text,true,,487,147,1,1,3,0,0
1549607152149,4,Petición HTTP,200,OK,Grupo de Hilos 1-62,text,true,,487,147,1,1,4,0,1
1549607152154,4,Petición HTTP,200,OK,Grupo de Hilos 1-63,text,true,,488,147,1,1,4,0,1
1549607152160,5,Petición HTTP,200,OK,Grupo de Hilos 1-64,text,true,,488,147,2,2,5,0,2
1549607152163,4,Petición HTTP,200,OK,Grupo de Hilos 1-65,text,true,,487,147,1,1,4,0,1
