timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1549480616697,99,Petición HTTP,200,,Grupo de Hilos 1-13,text,true,,387,138,26,26,99,0,37
1549480616667,131,Petición HTTP,200,,Grupo de Hilos 1-1,text,true,,387,138,25,25,131,0,67
1549480616685,113,Petición HTTP,200,,Grupo de Hilos 1-12,text,true,,387,138,24,24,113,0,49
1549480616733,66,Petición HTTP,200,,Grupo de Hilos 1-18,text,true,,387,138,23,23,66,0,1
1549480616664,135,Petición HTTP,200,,Grupo de Hilos 1-9,text,true,,387,138,22,22,135,0,70
1549480616689,111,Petición HTTP,200,,Grupo de Hilos 1-6,text,true,,387,138,21,21,111,0,45
1549480616712,89,Petición HTTP,200,,Grupo de Hilos 1-15,text,true,,387,138,20,20,89,0,22
1549480616756,46,Petición HTTP,200,,Grupo de Hilos 1-21,text,true,,387,138,19,19,46,0,25
1549480616691,111,Petición HTTP,200,,Grupo de Hilos 1-2,text,true,,387,138,18,18,111,0,43
1549480616740,63,Petición HTTP,200,,Grupo de Hilos 1-19,text,true,,387,138,17,17,63,0,1
1549480616691,113,Petición HTTP,200,,Grupo de Hilos 1-5,text,true,,387,138,16,16,113,0,43
1549480616719,85,Petición HTTP,200,,Grupo de Hilos 1-16,text,true,,387,138,15,15,85,0,15
1549480616783,22,Petición HTTP,200,,Grupo de Hilos 1-25,text,true,,387,138,14,14,22,0,1
1549480616705,101,Petición HTTP,200,,Grupo de Hilos 1-14,text,true,,387,138,13,13,101,0,29
1549480616691,115,Petición HTTP,200,,Grupo de Hilos 1-3,text,true,,387,138,12,12,115,0,43
1549480616762,45,Petición HTTP,200,,Grupo de Hilos 1-22,text,true,,387,138,11,11,45,0,17
1549480616790,5,Petición HTTP,200,,Grupo de Hilos 1-26,text,true,,387,138,10,10,5,0,3
1549480616668,127,Petición HTTP,200,,Grupo de Hilos 1-4,text,true,,387,138,9,9,127,0,65
1549480616755,40,Petición HTTP,200,,Grupo de Hilos 1-20,text,true,,387,138,8,8,40,0,26
1549480616683,112,Petición HTTP,200,,Grupo de Hilos 1-11,text,true,,387,138,7,7,112,0,51
1549480616691,104,Petición HTTP,200,,Grupo de Hilos 1-7,text,true,,387,138,6,6,104,0,43
1549480616780,15,Petición HTTP,200,,Grupo de Hilos 1-24,text,true,,387,138,5,5,15,0,1
1549480616726,69,Petición HTTP,200,,Grupo de Hilos 1-17,text,true,,387,138,4,4,69,0,8
1549480616677,117,Petición HTTP,200,,Grupo de Hilos 1-10,text,true,,387,138,3,3,117,0,57
