timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1549603480676,16,Petición HTTP,200,,Grupo de Hilos 1-18,text,true,,389,169,20,20,16,0,1
1549603480614,80,Petición HTTP,200,,Grupo de Hilos 1-11,text,true,,389,169,19,19,80,0,3
1549603480596,99,Petición HTTP,200,,Grupo de Hilos 1-10,text,true,,389,169,18,18,99,0,21
1549603480549,146,Petición HTTP,200,,Grupo de Hilos 1-5,text,true,,389,169,17,17,146,0,67
1549603480571,125,Petición HTTP,200,,Grupo de Hilos 1-8,text,true,,389,169,16,16,119,0,47
1549603480582,114,Petición HTTP,200,,Grupo de Hilos 1-9,text,true,,389,169,15,15,108,0,28
1549603480549,148,Petición HTTP,200,,Grupo de Hilos 1-2,text,true,,389,169,14,14,141,0,58
1549603480549,148,Petición HTTP,200,,Grupo de Hilos 1-4,text,true,,389,169,13,13,141,0,64
1549603480549,149,Petición HTTP,200,,Grupo de Hilos 1-1,text,true,,389,169,12,12,141,0,69
1549603480549,149,Petición HTTP,200,,Grupo de Hilos 1-6,text,true,,389,169,12,12,141,0,64
1549603480633,65,Petición HTTP,200,,Grupo de Hilos 1-13,text,true,,389,169,12,12,57,0,1
1549603480549,150,Petición HTTP,200,,Grupo de Hilos 1-3,text,true,,389,169,10,10,140,0,68
1549603480623,76,Petición HTTP,200,,Grupo de Hilos 1-12,text,true,,389,169,10,10,66,0,1
1549603480652,47,Petición HTTP,200,,Grupo de Hilos 1-15,text,true,,389,169,9,9,37,0,3
1549603480557,142,Petición HTTP,200,,Grupo de Hilos 1-7,text,true,,389,169,9,9,132,0,59
1549603480668,32,Petición HTTP,200,,Grupo de Hilos 1-17,text,true,,389,169,8,8,21,0,10
1549603480649,51,Petición HTTP,200,,Grupo de Hilos 1-14,text,true,,389,169,8,8,40,0,2
1549603480685,15,Petición HTTP,200,,Grupo de Hilos 1-19,text,true,,389,169,3,3,4,0,0
1549603480660,41,Petición HTTP,200,,Grupo de Hilos 1-16,text,true,,389,169,3,3,29,0,0
1549603480693,21,Petición HTTP,200,,Grupo de Hilos 1-20,text,true,,389,169,3,3,21,0,16
