timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1549843688975,94,Petición HTTP,200,OK,Grupo de Hilos 1-16,text,true,,341,147,41,41,93,0,75
1549843688984,86,Petición HTTP,200,OK,Grupo de Hilos 1-5,text,true,,341,147,41,41,86,0,63
1549843688977,95,Petición HTTP,200,OK,Grupo de Hilos 1-15,text,true,,341,147,40,40,95,0,69
1549843688994,78,Petición HTTP,200,OK,Grupo de Hilos 1-23,text,true,,341,147,39,39,78,0,47
1549843688975,96,Petición HTTP,200,OK,Grupo de Hilos 1-8,text,true,,341,147,39,39,96,0,73
1549843688970,102,Petición HTTP,200,OK,Grupo de Hilos 1-6,text,true,,341,147,39,39,102,0,76
1549843688969,104,Petición HTTP,200,OK,Grupo de Hilos 1-9,text,true,,341,147,38,38,103,0,78
1549843688975,100,Petición HTTP,200,OK,Grupo de Hilos 1-18,text,true,,341,147,35,35,100,0,75
1549843688983,92,Petición HTTP,200,OK,Grupo de Hilos 1-13,text,true,,341,147,34,34,92,0,71
1549843689002,75,Petición HTTP,200,OK,Grupo de Hilos 1-25,text,true,,341,147,33,33,75,0,47
1549843688976,101,Petición HTTP,200,OK,Grupo de Hilos 1-14,text,true,,341,147,33,33,101,0,69
1549843688986,94,Petición HTTP,200,OK,Grupo de Hilos 1-21,text,true,,341,147,33,33,94,0,68
1549843689035,39,Petición HTTP,200,OK,Grupo de Hilos 1-32,text,true,,339,147,31,31,39,0,17
1549843688977,98,Petición HTTP,200,OK,Grupo de Hilos 1-17,text,true,,341,147,30,30,98,0,70
1549843688970,104,Petición HTTP,200,OK,Grupo de Hilos 1-3,text,true,,341,147,29,29,104,0,75
1549843689064,26,Petición HTTP,200,OK,Grupo de Hilos 1-40,text,true,,341,147,29,29,26,0,1
1549843689028,63,Petición HTTP,200,OK,Grupo de Hilos 1-31,text,true,,341,147,28,28,63,0,22
1549843689010,81,Petición HTTP,200,OK,Grupo de Hilos 1-27,text,true,,341,147,28,28,81,0,45
1549843688990,102,Petición HTTP,200,OK,Grupo de Hilos 1-22,text,true,,341,147,26,26,102,0,75
1549843689047,45,Petición HTTP,200,OK,Grupo de Hilos 1-36,text,true,,341,147,25,25,45,0,6
1549843689059,33,Petición HTTP,200,OK,Grupo de Hilos 1-39,text,true,,341,147,25,25,33,0,4
1549843689036,56,Petición HTTP,200,OK,Grupo de Hilos 1-33,text,true,,341,147,24,24,56,0,16
1549843688970,122,Petición HTTP,200,OK,Grupo de Hilos 1-10,text,true,,341,147,24,24,122,0,77
1549843688976,116,Petición HTTP,200,OK,Grupo de Hilos 1-11,text,true,,341,147,23,23,116,0,72
1549843689006,87,Petición HTTP,200,OK,Grupo de Hilos 1-26,text,true,,341,147,21,21,87,0,49
1549843689052,41,Petición HTTP,200,OK,Grupo de Hilos 1-37,text,true,,341,147,21,21,41,0,1
1549843688983,114,Petición HTTP,200,OK,Grupo de Hilos 1-20,text,true,,341,147,21,21,114,0,73
1549843689056,42,Petición HTTP,200,OK,Grupo de Hilos 1-38,text,true,,341,147,20,20,42,0,7
1549843689083,16,Petición HTTP,200,OK,Grupo de Hilos 1-43,text,true,,341,147,20,20,16,0,1
1549843689073,26,Petición HTTP,200,OK,Grupo de Hilos 1-42,text,true,,341,147,19,19,26,0,1
1549843688974,125,Petición HTTP,200,OK,Grupo de Hilos 1-12,text,true,,341,147,18,18,125,0,78
1549843688974,126,Petición HTTP,200,OK,Grupo de Hilos 1-2,text,true,,341,147,17,17,126,0,81
1549843689069,32,Petición HTTP,200,OK,Grupo de Hilos 1-41,text,true,,341,147,16,16,32,0,1
1549843689090,11,Petición HTTP,200,OK,Grupo de Hilos 1-44,text,true,,341,147,16,16,11,0,5
1549843689018,84,Petición HTTP,200,OK,Grupo de Hilos 1-29,text,true,,341,147,15,15,84,0,36
1549843689097,5,Petición HTTP,200,OK,Grupo de Hilos 1-45,text,true,,339,147,13,13,5,0,0
1549843688974,127,Petición HTTP,200,OK,Grupo de Hilos 1-4,text,true,,341,147,13,13,127,0,75
1549843689040,63,Petición HTTP,200,OK,Grupo de Hilos 1-34,text,true,,341,147,13,13,62,0,12
1549843689022,81,Petición HTTP,200,OK,Grupo de Hilos 1-30,text,true,,341,147,13,13,81,0,32
1549843688998,105,Petición HTTP,200,OK,Grupo de Hilos 1-24,text,true,,341,147,12,12,105,0,52
1549843688977,127,Petición HTTP,200,OK,Grupo de Hilos 1-19,text,true,,341,147,11,11,127,0,69
1549843688974,129,Petición HTTP,200,OK,Grupo de Hilos 1-7,text,true,,341,147,10,10,129,0,79
1549843689015,90,Petición HTTP,200,OK,Grupo de Hilos 1-28,text,true,,341,147,10,10,90,0,38
1549843689094,11,Petición HTTP,200,OK,Grupo de Hilos 1-46,text,true,,341,147,10,10,11,0,1
1549843689096,9,Petición HTTP,200,OK,Grupo de Hilos 1-47,text,true,,341,147,10,10,9,0,1
1549843688974,131,Petición HTTP,200,OK,Grupo de Hilos 1-1,text,true,,341,147,10,10,131,0,73
1549843689099,7,Petición HTTP,200,OK,Grupo de Hilos 1-48,text,true,,341,147,10,10,7,0,1
1549843689043,65,Petición HTTP,200,OK,Grupo de Hilos 1-35,text,true,,341,147,6,6,65,0,8
1549843689107,9,Petición HTTP,200,OK,Grupo de Hilos 1-50,text,true,,341,147,4,4,9,0,4
1549843689111,5,Petición HTTP,200,OK,Grupo de Hilos 1-51,text,true,,339,147,4,4,5,0,1
1549843689110,7,Petición HTTP,200,OK,Grupo de Hilos 1-49,text,true,,341,147,2,2,7,0,1
1549843689114,6,Petición HTTP,200,OK,Grupo de Hilos 1-52,text,true,,341,147,2,2,6,0,1
1549843689118,6,Petición HTTP,200,OK,Grupo de Hilos 1-53,text,true,,339,147,2,2,6,0,1
1549843689121,6,Petición HTTP,200,OK,Grupo de Hilos 1-54,text,true,,341,147,2,2,6,0,1
1549843689127,6,Petición HTTP,200,OK,Grupo de Hilos 1-55,text,true,,341,147,2,2,6,0,1
1549843689130,6,Petición HTTP,200,OK,Grupo de Hilos 1-56,text,true,,341,147,1,1,6,0,0
1549843689137,6,Petición HTTP,200,OK,Grupo de Hilos 1-57,text,true,,341,147,2,2,6,0,1
1549843689140,7,Petición HTTP,200,OK,Grupo de Hilos 1-58,text,true,,341,147,2,2,7,0,1
1549843689144,6,Petición HTTP,200,OK,Grupo de Hilos 1-59,text,true,,341,147,2,2,6,0,0
1549843689150,6,Petición HTTP,200,OK,Grupo de Hilos 1-60,text,true,,341,147,2,2,6,0,1
1549843689153,6,Petición HTTP,200,OK,Grupo de Hilos 1-61,text,true,,341,147,1,1,6,0,1
1549843689165,7,Petición HTTP,200,OK,Grupo de Hilos 1-63,text,true,,341,147,2,2,7,0,1
1549843689172,5,Petición HTTP,200,OK,Grupo de Hilos 1-64,text,true,,341,147,2,2,5,0,0
1549843689175,6,Petición HTTP,200,OK,Grupo de Hilos 1-62,text,true,,341,147,2,2,6,0,1
1549843689179,10,Petición HTTP,200,OK,Grupo de Hilos 1-66,text,true,,339,147,3,3,10,0,3
1549843689182,8,Petición HTTP,200,OK,Grupo de Hilos 1-65,text,true,,339,147,2,2,8,0,0
1549843689188,5,Petición HTTP,200,OK,Grupo de Hilos 1-67,text,true,,341,147,1,1,5,0,0
1549843689195,9,Petición HTTP,200,OK,Grupo de Hilos 1-69,text,true,,341,147,3,3,9,0,1
1549843689196,8,Petición HTTP,200,OK,Grupo de Hilos 1-68,text,true,,341,147,2,2,8,0,1
1549843689203,4,Petición HTTP,200,OK,Grupo de Hilos 1-70,text,true,,339,147,2,2,4,0,0
1549843689206,6,Petición HTTP,200,OK,Grupo de Hilos 1-71,text,true,,341,147,2,2,6,0,1
1549843689210,5,Petición HTTP,200,OK,Grupo de Hilos 1-72,text,true,,341,147,2,2,5,0,0
1549843689215,6,Petición HTTP,200,OK,Grupo de Hilos 1-73,text,true,,341,147,2,2,6,0,2
1549843689219,8,Petición HTTP,200,OK,Grupo de Hilos 1-74,text,true,,341,147,2,2,8,0,1
1549843689222,6,Petición HTTP,200,OK,Grupo de Hilos 1-75,text,true,,339,147,1,1,6,0,1
1549843689229,6,Petición HTTP,200,OK,Grupo de Hilos 1-76,text,true,,341,147,3,3,6,0,0
1549843689232,5,Petición HTTP,200,OK,Grupo de Hilos 1-77,text,true,,339,147,2,2,5,0,0
1549843689235,5,Petición HTTP,200,OK,Grupo de Hilos 1-78,text,true,,341,147,2,2,5,0,0
1549843689239,5,Petición HTTP,200,OK,Grupo de Hilos 1-79,text,true,,341,147,1,1,5,0,0
1549843689247,7,Petición HTTP,200,OK,Grupo de Hilos 1-80,text,true,,341,147,2,2,7,0,0
1549843689250,6,Petición HTTP,200,OK,Grupo de Hilos 1-81,text,true,,341,147,1,1,6,0,0
1549843689263,6,Petición HTTP,200,OK,Grupo de Hilos 1-82,text,true,,341,147,2,2,6,0,1
1549843689269,6,Petición HTTP,200,OK,Grupo de Hilos 1-83,text,true,,341,147,2,2,6,0,1
1549843689273,5,Petición HTTP,200,OK,Grupo de Hilos 1-84,text,true,,341,147,1,1,5,0,0
1549843689302,6,Petición HTTP,200,OK,Grupo de Hilos 1-86,text,true,,341,147,2,2,6,0,1
1549843689298,11,Petición HTTP,200,OK,Grupo de Hilos 1-85,text,true,,341,147,1,1,11,0,5
1549843689329,6,Petición HTTP,200,OK,Grupo de Hilos 1-88,text,true,,341,147,2,2,6,0,0
1549843689324,11,Petición HTTP,200,OK,Grupo de Hilos 1-87,text,true,,341,147,1,1,11,0,7
1549843689340,5,Petición HTTP,200,OK,Grupo de Hilos 1-89,text,true,,341,147,1,1,5,0,0
1549843689349,6,Petición HTTP,200,OK,Grupo de Hilos 1-90,text,true,,341,147,1,1,6,0,1
1549843689375,5,Petición HTTP,200,OK,Grupo de Hilos 1-91,text,true,,341,147,1,1,5,0,1
1549843689382,7,Petición HTTP,200,OK,Grupo de Hilos 1-92,text,true,,341,147,2,2,7,0,1
1549843689387,5,Petición HTTP,200,OK,Grupo de Hilos 1-93,text,true,,341,147,2,2,5,0,0
1549843689390,6,Petición HTTP,200,OK,Grupo de Hilos 1-94,text,true,,341,147,1,1,6,0,0
1549843689404,6,Petición HTTP,200,OK,Grupo de Hilos 1-96,text,true,,341,147,2,2,6,0,1
1549843689411,8,Petición HTTP,200,OK,Grupo de Hilos 1-98,text,true,,339,147,3,3,8,0,3
1549843689409,11,Petición HTTP,200,OK,Grupo de Hilos 1-97,text,true,,341,147,3,3,11,0,5
1549843689416,5,Petición HTTP,200,OK,Grupo de Hilos 1-99,text,true,,341,147,3,3,5,0,0
1549843689420,6,Petición HTTP,200,OK,Grupo de Hilos 1-100,text,true,,341,147,2,2,6,0,0
1549843689421,6,Petición HTTP,200,OK,Grupo de Hilos 1-95,text,true,,341,147,1,1,6,0,1
1549843689436,6,Petición HTTP,200,OK,Grupo de Hilos 1-102,text,true,,341,147,1,1,6,0,1
1549843689446,6,Petición HTTP,200,OK,Grupo de Hilos 1-101,text,true,,341,147,1,1,6,0,1
1549843689460,5,Petición HTTP,200,OK,Grupo de Hilos 1-103,text,true,,341,147,2,2,5,0,0
1549843689465,6,Petición HTTP,200,OK,Grupo de Hilos 1-104,text,true,,341,147,2,2,5,0,0
1549843689469,6,Petición HTTP,200,OK,Grupo de Hilos 1-105,text,true,,341,147,1,1,6,0,1
1549843689478,5,Petición HTTP,200,OK,Grupo de Hilos 1-107,text,true,,341,147,2,2,5,0,0
1549843689481,5,Petición HTTP,200,OK,Grupo de Hilos 1-108,text,true,,341,147,3,3,5,0,0
1549843689486,7,Petición HTTP,200,OK,Grupo de Hilos 1-109,text,true,,339,147,2,2,7,0,0
1549843689486,8,Petición HTTP,200,OK,Grupo de Hilos 1-106,text,true,,341,147,1,1,8,0,1
1549843689495,5,Petición HTTP,200,OK,Grupo de Hilos 1-110,text,true,,339,147,3,3,5,0,0
1549843689497,7,Petición HTTP,200,OK,Grupo de Hilos 1-112,text,true,,341,147,3,3,7,0,2
1549843689499,6,Petición HTTP,200,OK,Grupo de Hilos 1-111,text,true,,341,147,3,3,6,0,1
1549843689501,5,Petición HTTP,200,OK,Grupo de Hilos 1-113,text,true,,341,147,2,2,5,0,0
1549843689505,6,Petición HTTP,200,OK,Grupo de Hilos 1-114,text,true,,341,147,2,2,6,0,2
1549843689509,6,Petición HTTP,200,OK,Grupo de Hilos 1-115,text,true,,341,147,1,1,6,0,1
1549843689516,6,Petición HTTP,200,OK,Grupo de Hilos 1-117,text,true,,341,147,3,3,6,0,0
1549843689517,7,Petición HTTP,200,OK,Grupo de Hilos 1-116,text,true,,341,147,2,2,7,0,1
1549843689520,7,Petición HTTP,200,OK,Grupo de Hilos 1-118,text,true,,341,147,2,2,7,0,1
1549843689525,6,Petición HTTP,200,OK,Grupo de Hilos 1-119,text,true,,341,147,2,2,6,0,0
1549843689527,6,Petición HTTP,200,OK,Grupo de Hilos 1-120,text,true,,341,147,2,2,6,0,0
1549843689532,6,Petición HTTP,200,OK,Grupo de Hilos 1-121,text,true,,341,147,2,2,6,0,1
1549843689537,6,Petición HTTP,200,OK,Grupo de Hilos 1-122,text,true,,339,147,2,2,6,0,2
1549843689543,5,Petición HTTP,200,OK,Grupo de Hilos 1-123,text,true,,341,147,2,2,5,0,0
1549843689547,5,Petición HTTP,200,OK,Grupo de Hilos 1-124,text,true,,339,147,2,2,5,0,0
1549843689550,5,Petición HTTP,200,OK,Grupo de Hilos 1-125,text,true,,341,147,1,1,5,0,1
1549843689557,6,Petición HTTP,200,OK,Grupo de Hilos 1-126,text,true,,341,147,1,1,6,0,1
1549843689564,5,Petición HTTP,200,OK,Grupo de Hilos 1-127,text,true,,341,147,1,1,5,0,0
1549843689571,6,Petición HTTP,200,OK,Grupo de Hilos 1-128,text,true,,341,147,1,1,6,0,1
1549843689579,5,Petición HTTP,200,OK,Grupo de Hilos 1-129,text,true,,341,147,1,1,5,0,0
1549843689589,7,Petición HTTP,200,OK,Grupo de Hilos 1-130,text,true,,341,147,3,3,6,0,0
1549843689598,11,Petición HTTP,200,OK,Grupo de Hilos 1-133,text,true,,341,147,5,5,11,0,1
1549843689598,11,Petición HTTP,200,OK,Grupo de Hilos 1-131,text,true,,341,147,4,4,11,0,1
1549843689596,13,Petición HTTP,200,OK,Grupo de Hilos 1-132,text,true,,339,147,4,4,13,0,1
1549843689602,13,Petición HTTP,200,OK,Grupo de Hilos 1-134,text,true,,341,147,4,4,13,0,7
1549843689608,7,Petición HTTP,200,OK,Grupo de Hilos 1-135,text,true,,341,147,4,4,7,0,1
1549843689611,8,Petición HTTP,200,OK,Grupo de Hilos 1-136,text,true,,341,147,3,3,8,0,1
1549843689614,7,Petición HTTP,200,OK,Grupo de Hilos 1-137,text,true,,341,147,2,2,7,0,1
1549843689618,6,Petición HTTP,200,OK,Grupo de Hilos 1-138,text,true,,341,147,2,2,6,0,1
1549843689623,5,Petición HTTP,200,OK,Grupo de Hilos 1-139,text,true,,341,147,2,2,5,0,1
1549843689627,4,Petición HTTP,200,OK,Grupo de Hilos 1-140,text,true,,341,147,2,2,4,0,0
1549843689631,5,Petición HTTP,200,OK,Grupo de Hilos 1-141,text,true,,341,147,2,2,5,0,0
1549843689635,5,Petición HTTP,200,OK,Grupo de Hilos 1-142,text,true,,341,147,2,2,5,0,0
1549843689639,6,Petición HTTP,200,OK,Grupo de Hilos 1-143,text,true,,341,147,1,1,6,0,1
1549843689651,5,Petición HTTP,200,OK,Grupo de Hilos 1-144,text,true,,341,147,2,2,5,0,0
1549843689656,5,Petición HTTP,200,OK,Grupo de Hilos 1-145,text,true,,341,147,2,2,5,0,1
1549843689659,6,Petición HTTP,200,OK,Grupo de Hilos 1-146,text,true,,341,147,2,2,6,0,0
1549843689663,6,Petición HTTP,200,OK,Grupo de Hilos 1-147,text,true,,341,147,2,2,6,0,1
1549843689667,7,Petición HTTP,200,OK,Grupo de Hilos 1-148,text,true,,341,147,3,3,7,0,1
1549843689670,6,Petición HTTP,200,OK,Grupo de Hilos 1-149,text,true,,341,147,2,2,6,0,1
1549843689673,7,Petición HTTP,200,OK,Grupo de Hilos 1-150,text,true,,341,147,2,2,7,0,1
1549843689677,6,Petición HTTP,200,OK,Grupo de Hilos 1-151,text,true,,341,147,2,2,6,0,1
1549843689680,6,Petición HTTP,200,OK,Grupo de Hilos 1-152,text,true,,341,147,2,2,6,0,1
1549843689684,5,Petición HTTP,200,OK,Grupo de Hilos 1-153,text,true,,339,147,2,2,5,0,0
1549843689688,6,Petición HTTP,200,OK,Grupo de Hilos 1-154,text,true,,341,147,2,2,6,0,0
1549843689691,7,Petición HTTP,200,OK,Grupo de Hilos 1-155,text,true,,341,147,2,2,7,0,1
1549843689695,6,Petición HTTP,200,OK,Grupo de Hilos 1-156,text,true,,341,147,2,2,6,0,1
1549843689698,7,Petición HTTP,200,OK,Grupo de Hilos 1-157,text,true,,341,147,3,3,7,0,1
1549843689702,5,Petición HTTP,200,OK,Grupo de Hilos 1-158,text,true,,341,147,2,2,5,0,0
1549843689705,8,Petición HTTP,200,OK,Grupo de Hilos 1-159,text,true,,341,147,3,3,8,0,0
1549843689709,5,Petición HTTP,200,OK,Grupo de Hilos 1-160,text,true,,339,147,2,2,5,0,1
1549843689712,6,Petición HTTP,200,OK,Grupo de Hilos 1-161,text,true,,341,147,2,2,6,0,1
1549843689715,6,Petición HTTP,200,OK,Grupo de Hilos 1-162,text,true,,341,147,2,2,6,0,1
1549843689720,5,Petición HTTP,200,OK,Grupo de Hilos 1-163,text,true,,341,147,2,2,5,0,0
1549843689723,6,Petición HTTP,200,OK,Grupo de Hilos 1-164,text,true,,341,147,2,2,6,0,0
1549843689726,6,Petición HTTP,200,OK,Grupo de Hilos 1-165,text,true,,341,147,2,2,6,0,1
1549843689730,6,Petición HTTP,200,OK,Grupo de Hilos 1-166,text,true,,341,147,2,2,6,0,1
1549843689734,5,Petición HTTP,200,OK,Grupo de Hilos 1-167,text,true,,341,147,2,2,5,0,0
1549843689737,5,Petición HTTP,200,OK,Grupo de Hilos 1-168,text,true,,339,147,2,2,5,0,0
1549843689741,8,Petición HTTP,200,OK,Grupo de Hilos 1-169,text,true,,341,147,3,3,8,0,1
