timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1549839124835,10,Petición HTTP,200,OK,Grupo de Hilos 1-26,text,true,,258,169,27,27,10,0,1
1549839124768,78,Petición HTTP,200,OK,Grupo de Hilos 1-7,text,true,,258,169,28,28,78,0,51
1549839124823,24,Petición HTTP,200,OK,Grupo de Hilos 1-24,text,true,,258,169,27,27,24,0,9
1549839124758,88,Petición HTTP,200,OK,Grupo de Hilos 1-11,text,true,,258,169,26,26,88,0,60
1549839124781,66,Petición HTTP,200,OK,Grupo de Hilos 1-18,text,true,,258,169,26,26,66,0,38
1549839124801,46,Petición HTTP,200,OK,Grupo de Hilos 1-21,text,true,,258,169,26,26,46,0,18
1549839124754,107,Petición HTTP,200,OK,Grupo de Hilos 1-14,text,true,,258,169,23,23,107,0,72
1549839124842,4,Petición HTTP,200,OK,Grupo de Hilos 1-27,text,true,,258,169,23,23,4,0,1
1549839124828,19,Petición HTTP,200,OK,Grupo de Hilos 1-25,text,true,,258,169,23,23,19,0,2
1549839124769,83,Petición HTTP,200,OK,Grupo de Hilos 1-10,text,true,,258,169,22,22,83,0,59
1549839124761,92,Petición HTTP,200,OK,Grupo de Hilos 1-15,text,true,,258,169,22,22,92,0,68
1549839124849,3,Petición HTTP,200,OK,Grupo de Hilos 1-28,text,true,,258,169,21,21,3,0,0
1549839124769,101,Petición HTTP,200,OK,Grupo de Hilos 1-3,text,true,,258,169,21,21,101,0,52
1549839124868,4,Petición HTTP,200,OK,Grupo de Hilos 1-30,text,true,,258,169,18,18,4,0,1
1549839124754,117,Petición HTTP,200,OK,Grupo de Hilos 1-8,text,true,,258,169,17,17,117,0,71
1549839124769,103,Petición HTTP,200,OK,Grupo de Hilos 1-12,text,true,,258,169,17,17,103,0,50
1549839124794,79,Petición HTTP,200,OK,Grupo de Hilos 1-20,text,true,,258,169,15,15,79,0,29
1549839124791,82,Petición HTTP,200,OK,Grupo de Hilos 1-19,text,true,,258,169,15,15,82,0,32
1549839124815,59,Petición HTTP,200,OK,Grupo de Hilos 1-23,text,true,,258,169,14,14,59,0,12
1549839124768,106,Petición HTTP,200,OK,Grupo de Hilos 1-16,text,true,,258,169,14,14,106,0,56
1549839124775,99,Petición HTTP,200,OK,Grupo de Hilos 1-17,text,true,,258,169,13,13,99,0,49
1549839124755,118,Petición HTTP,200,OK,Grupo de Hilos 1-6,text,true,,258,169,13,13,118,0,69
1549839124754,120,Petición HTTP,200,OK,Grupo de Hilos 1-13,text,true,,258,169,12,12,120,0,70
1549839124751,123,Petición HTTP,200,OK,Grupo de Hilos 1-1,text,true,,258,169,11,11,123,0,73
1549839124767,107,Petición HTTP,200,OK,Grupo de Hilos 1-4,text,true,,258,169,11,11,107,0,54
1549839124762,92,Petición HTTP,200,OK,Grupo de Hilos 1-5,text,true,,258,169,10,10,92,0,52
1549839124768,84,Petición HTTP,200,OK,Grupo de Hilos 1-9,text,true,,258,169,9,9,84,0,54
1549839124808,66,Petición HTTP,200,OK,Grupo de Hilos 1-22,text,true,,258,169,14,14,66,0,20
1549839124768,112,Petición HTTP,200,OK,Grupo de Hilos 1-2,text,true,,258,169,4,4,103,0,55
1549839124856,5,Petición HTTP,200,OK,Grupo de Hilos 1-29,text,true,,258,169,9,9,5,0,1
